Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Order Date,Month,Year,Quarter,Stock_Level,Reorder_Point,Shelf_Life_Days,Days_To_Expiry,Near_Expiry,Low_Stock,Profit_Margin,Is_Anomaly,Anomaly_Score
Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Bookcases,261.96,2,0.0,41.9136,2016-11-08,11,2016,4,78,21,1825,1354,0,0,16.000000000000004,0,1
Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Chairs,731.94,3,0.0,219.582,2016-11-08,11,2016,4,101,24,1825,1361,0,0,30.0,0,1
Second Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Labels,14.62,2,0.0,6.8714,2016-06-12,6,2016,2,598,180,365,-223,1,0,47.0,0,1
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Furniture,Tables,957.5775,5,0.45,-383.031,2015-10-11,10,2015,4,44,18,1825,1009,0,0,-40.0,1,-1
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Office Supplies,Storage,22.368,2,0.2,2.5164,2015-10-11,10,2015,4,232,66,1095,234,0,0,11.25,0,1
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Furnishings,48.86,7,0.0,14.1694,2014-06-09,6,2014,2,177,60,1825,473,0,0,28.999999999999996,0,1
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Art,7.28,4,0.0,1.9656,2014-06-09,6,2014,2,340,105,365,-947,1,0,27.0,0,1
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,907.152,6,0.2,90.7152,2014-06-09,6,2014,2,158,45,540,-808,1,0,10.0,0,1
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Binders,18.504,3,0.2,5.7825,2014-06-09,6,2014,2,427,120,730,-592,1,0,31.249999999999993,0,1
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Appliances,114.9,5,0.0,34.47,2014-06-09,6,2014,2,88,30,730,-578,1,0,30.0,0,1
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Tables,1706.184,9,0.2,85.3092,2014-06-09,6,2014,2,52,18,1825,509,0,0,5.0,0,1
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,911.424,4,0.2,68.3568,2014-06-09,6,2014,2,130,45,540,-761,1,0,7.500000000000001,0,1
Standard Class,Consumer,United States,Concord,North Carolina,28027,South,Office Supplies,Paper,15.552,3,0.2,5.4432,2017-04-15,4,2017,2,480,150,730,453,0,0,35.0,0,1
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Binders,407.976,3,0.2,132.5922,2016-12-05,12,2016,4,393,120,730,322,0,0,32.49999999999999,0,1
Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Appliances,68.81,5,0.8,-123.858,2015-11-22,11,2015,4,122,30,730,-94,1,0,-180.0,1,-1
Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Binders,2.544,3,0.8,-3.816,2015-11-22,11,2015,4,405,120,730,-45,1,0,-150.0,0,1
Standard Class,Consumer,United States,Madison,Wisconsin,53711,Central,Office Supplies,Storage,665.88,6,0.0,13.3176,2014-11-11,11,2014,4,229,66,1095,-103,1,0,2.0,0,1
Second Class,Consumer,United States,West Jordan,Utah,84084,West,Office Supplies,Storage,55.5,2,0.0,9.99,2014-05-13,5,2014,2,213,66,1095,-273,1,0,18.0,0,1
Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Art,8.56,2,0.0,2.4824,2014-08-27,8,2014,3,322,105,365,-897,1,0,28.999999999999996,0,1
Second Class,Consumer,United States,San Francisco,California,94109,West,Technology,Phones,213.48,3,0.2,16.011,2014-08-27,8,2014,3,141,45,540,-739,1,0,7.5,0,1
Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Binders,22.72,4,0.2,7.384,2014-08-27,8,2014,3,422,120,730,-510,1,0,32.5,0,1
Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Art,19.46,7,0.0,5.0596,2016-12-09,12,2016,4,321,105,365,-29,1,0,25.999999999999996,0,1
Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Appliances,60.34,7,0.0,15.6884,2016-12-09,12,2016,4,93,30,730,328,0,0,25.999999999999996,0,1
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,71.372,2,0.3,-1.0196,2017-07-16,7,2017,3,93,24,1825,1632,0,0,-1.4285714285714286,0,1
Standard Class,Consumer,United States,Orem,Utah,84057,West,Furniture,Tables,1044.63,3,0.0,240.2649,2015-09-25,9,2015,3,59,18,1825,952,0,0,23.0,0,1
Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders,11.648,2,0.2,4.2224,2016-01-16,1,2016,1,407,120,730,15,1,0,36.25000000000001,0,1
Second Class,Consumer,United States,Los Angeles,California,90049,West,Technology,Accessories,90.57,3,0.0,11.7741,2016-01-16,1,2016,1,151,54,365,-384,1,0,13.0,0,1
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Bookcases,3083.43,7,0.5,-1665.0522,2015-09-17,9,2015,3,99,21,1825,972,0,0,-54.0,1,-1
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,9.618,2,0.7,-7.0532,2015-09-17,9,2015,3,390,120,730,-121,1,0,-73.33333333333334,0,1
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,124.2,3,0.2,15.525,2015-09-17,9,2015,3,202,60,1825,986,0,0,12.5,0,1
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Envelopes,3.264,2,0.2,1.1016,2015-09-17,9,2015,3,431,135,365,-508,1,0,33.75,0,1
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,86.304,6,0.2,9.7092,2015-09-17,9,2015,3,377,105,365,-487,1,0,11.249999999999998,0,1
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,6.858,6,0.7,-5.715,2015-09-17,9,2015,3,391,120,730,-157,1,0,-83.33333333333334,0,1
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,15.76,2,0.2,3.546,2015-09-17,9,2015,3,363,105,365,-523,1,0,22.499999999999996,0,1
Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Paper,29.472,3,0.2,9.9468,2017-10-19,10,2017,4,494,150,730,600,0,0,33.75,0,1
First Class,Corporate,United States,Richardson,Texas,75080,Central,Technology,Phones,1097.544,7,0.2,123.4737,2016-12-08,12,2016,4,168,45,540,147,0,0,11.249999999999998,0,1
First Class,Corporate,United States,Richardson,Texas,75080,Central,Furniture,Furnishings,190.92,5,0.6,-147.963,2016-12-08,12,2016,4,196,60,1825,1422,0,0,-77.5,0,1
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes,113.328,9,0.2,35.415,2015-12-27,12,2015,4,478,135,365,-407,1,0,31.25,0,1
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Bookcases,532.3992,3,0.32,-46.9764,2015-12-27,12,2015,4,81,21,1825,1056,0,0,-8.823529411764707,0,1
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,212.058,3,0.3,-15.147,2015-12-27,12,2015,4,77,24,1825,1052,0,0,-7.142857142857144,0,1
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Technology,Phones,371.168,4,0.2,41.7564,2015-12-27,12,2015,4,179,45,540,-238,1,0,11.25,0,1
Standard Class,Corporate,United States,Naperville,Illinois,60540,Central,Technology,Phones,147.168,4,0.2,16.5564,2017-09-10,9,2017,3,135,45,540,426,0,0,11.249999999999998,0,1
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Storage,77.88,2,0.0,3.894,2016-07-17,7,2016,3,204,66,1095,527,0,0,5.0,0,1
Standard Class,Corporate,United States,Melbourne,Florida,32935,South,Office Supplies,Storage,95.616,2,0.2,9.5616,2017-09-19,9,2017,3,236,66,1095,969,0,0,10.0,0,1
First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Technology,Accessories,45.98,2,0.0,19.7714,2016-03-11,3,2016,1,200,54,365,-298,1,0,43.00000000000001,0,1
First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Office Supplies,Binders,17.46,2,0.0,8.2062,2016-03-11,3,2016,1,413,120,730,42,0,0,47.0,0,1
Second Class,Consumer,United States,Westland,Michigan,48185,Central,Office Supplies,Storage,211.96,4,0.0,8.4784,2014-10-20,10,2014,4,244,66,1095,-83,1,0,4.0,0,1
Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Accessories,45.0,3,0.0,4.95,2016-06-20,6,2016,2,201,54,365,-196,1,0,11.0,0,1
Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Phones,21.8,2,0.0,6.104,2016-06-20,6,2016,2,176,45,540,-41,1,0,27.999999999999996,0,1
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Binders,38.22,6,0.0,17.9634,2015-04-18,4,2015,2,372,120,730,-285,1,0,47.0,0,1
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Labels,75.18,6,0.0,35.3346,2015-04-18,4,2015,2,606,180,365,-630,1,0,47.0,0,1
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Furnishings,6.16,2,0.0,2.9568,2015-04-18,4,2015,2,220,60,1825,835,0,0,48.0,0,1
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Chairs,89.99,1,0.0,17.0981,2015-04-18,4,2015,2,56,24,1825,788,0,0,19.0,0,1
Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Fasteners,15.26,7,0.0,6.2566,2016-12-11,12,2016,4,690,210,365,-42,1,0,41.0,0,1
Standard Class,Corporate,United States,New York City,New York,10024,East,Technology,Phones,1029.95,5,0.0,298.6855,2016-12-11,12,2016,4,128,45,540,143,0,0,28.999999999999996,0,1
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Storage,208.56,6,0.0,52.14,2016-06-17,6,2016,2,228,66,1095,530,0,0,25.0,0,1
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,32.4,5,0.0,15.552,2016-06-17,6,2016,2,487,150,730,152,0,0,48.0,0,1
First Class,Consumer,United States,Troy,New York,12180,East,Furniture,Chairs,319.41,5,0.1,7.098,2016-06-17,6,2016,2,53,24,1825,1223,0,0,2.222222222222222,0,1
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,14.56,2,0.0,6.9888,2016-06-17,6,2016,2,494,150,730,113,0,0,48.0,0,1
First Class,Consumer,United States,Troy,New York,12180,East,Technology,Accessories,30.0,2,0.0,3.3,2016-06-17,6,2016,2,209,54,365,-214,1,0,11.0,0,1
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Binders,48.48,4,0.2,16.362,2016-06-17,6,2016,2,383,120,730,158,0,0,33.75,0,1
